pc_area,pc_name
AB,Aberdeen
AL,St Albans
B,Birmingham
BA,Bath
BB,Blackburn
BD,Bradford
BH,Bournemouth
BL,Bolton
BN,Brighton
BR,Bromley
BS,Bristol
BT,Belfast
CA,Carlisle
CB,Cambridge
CF,Cardiff
CH,Chester
CM,Chelmsford
CO,Colchester
CR,Croydon
CT,Canterbury
CV,Coventry
CW,Crewe
DA,Dartford
DD,Dundee
DE,Derby
DG,Dumfries[1]
DH,Durham
DL,Darlington
DN,Doncaster
DT,Dorchester
DY,Dudley
E,East London
EC,East Central London
EH,Edinburgh
EN,Enfield
EX,Exeter
FK,Falkirk
FY,Blackpool[1]
G,Glasgow
GL,Gloucester
GU,Guildford
HA,Harrow
HD,Huddersfield
HG,Harrogate
HP,Hemel Hempstead
HR,Hereford
HS,Outer Hebrides[1]
HU,Hull
HX,Halifax
IG,Ilford[1]
IP,Ipswich
IV,Inverness
KA,Kilmarnock
KT,Kingston upon Thames
KW,Kirkwall
KY,Kirkcaldy
L,Liverpool
LA,Lancaster
LD,Llandrindod Wells[1]
LE,Leicester
LL,Llandudno
LN,Lincoln
LS,Leeds
LU,Luton
M,Manchester
ME,Rochester[1]
MK,Milton Keynes
ML,Motherwell
N,North London
NE,Newcastle upon Tyne[6][7]
NG,Nottingham
NN,Northampton
NP,Newport
NR,Norwich
NW,North West London
OL,Oldham
OX,Oxford
PA,Paisley
PE,Peterborough
PH,Perth
PL,Plymouth
PO,Portsmouth
PR,Preston
RG,Reading
RH,Redhill
RM,Romford
S,Sheffield
SA,Swansea
SE,South East London
SG,Stevenage
SK,Stockport
SL,Slough
SM,Sutton[1]
SN,Swindon
SO,Southampton
SP,Salisbury[1]
SR,Sunderland
SS,Southend-on-Sea
ST,Stoke-on-Trent
SW,South West London
SY,Shrewsbury
TA,Taunton
TD,Galashiels[1]
TF,Telford
TN,Tunbridge Wells[1]
TQ,Torquay
TR,Truro
TS,Cleveland[1]
TW,Twickenham
UB,Southall[1]
W,West London
WA,Warrington
WC,Western Central London
WD,Watford
WF,Wakefield
WN,Wigan
WR,Worcester
WS,Walsall
WV,Wolverhampton
YO,York
ZE,Lerwick[1]
